Alfabet,Title,Description,Mamfaat Pemeriksaan
A,ADAMTS13 Activity with Reflex to Inhibitor,Pengujian inhibitor dilakukan ketika tingkat aktivitas ADAMTS13 ?30%.,membantu diagnosis thrombotic thrombocytopenic purpura (TTP) bawaan atau kongenital
#,96 Food Allergy IgG,,Silahkan cek email anda untuk mendapatkan kata sandi baru
#,96 Food Allergy IgA ,"Tes IgA mengukur tingkat imunoglobulin A dalam darah, salah satu antibodi paling umum dalam tubuh. Antibodi adalah protein yang dibuat oleh sistem kekebalan tubuh untuk melawan bakteri, virus, dan racun. IgA juga berperan dalam reaksi alergi. Kadar IgA juga mungkin tinggi dalam kondisi autoimun, gangguan di mana tubuh secara keliru membuat antibodi terhadap jaringan sehat.",Mengetahui adanya alergi berdasarkan konsentrasi IgA dari 96 jenis makanan
#,5-HIAA,5-HIAA adalah metabolit utama serotonin (zat kimia yang meneruskan pesan antar sel saraf). Pemeriksaan ini mengukur jumlah 5-HIAA di dalam urin (air kencing),"- Bila ditemukan 5-HIAA dalam urin 24 jam dapat mengindikasikan adanya tumor karsinoid.
- Membantu memantau pengobatan untuk tumor karsinoid yang menghasilkan serotonin"
#,5' Nucleotidase,"5' Nucleotidase merupakan enzim yang berfungsi menghidrolisis gugus fosfat dari nukelotida 5', dan berperan dalam metabolisme nukletida",Konsentrasi 5'nuklotidase di dalam darah digunakan untuk mengevaluasi fungsi hati pada individu yang memiliki gejala penyakit hati. Enzim ini meningkat pada kondisi obstructive hepatobiliary disorder
#,21 - Hydroxylase Antibody,-,-
A,Anti-Chikungunya IgM,"Virus Chikungunya merupakan alphavirus yang ditularkan oleh nyamuk dan terkait dengan penyakit demam, disertai dengan gejala seperti arthralgia (nyeri sendi) parah, ruam, dan sakit kepala. Anti-Chikungunya IgM mendeteksi antibodi IgM terhadap virus Chikungunya, dan merupakan indikator yang dapat diandalkan karena dapat menunjukkan infeksi virus Chikungunya dalam waktu 3 bulan sebelumnya. Pemeriksaan Anti-Chikungunya IgM membutuhkan sampel berupa darah yang diambil dari pembuluh darah vena di lengan.",Membedakan infeksi Chikungunya dari infeksi virus Dengue.
E,"Entamoeba histolytica Antibody (IgG), Elisa",Entamoeba histolytica adalah kista pembentuk parasit anaerob yang memiliki empat inti kecil dan berdiameter 10-15 ?m. Kista tersebut kokoh dan tahan terhadap kondisi lingkungan yang merugikan.,Untuk penentuan kualitatif antibodi terhadap antigen Entamoeba histolytica dalam serum atau plasma manusia (sitrat). Terutama pembawa asimptomatik dan kasus amoebiasis non-invasif sebelumnya dapat diidentifikasi.
M,Mutasi EGFR,,Silahkan cek email anda untuk mendapatkan kata sandi baru
I,IgE Spesifik Kotoran Burung,"IgE merupakan antibodi yang berperan dalam proses terjadinya gejala alergi. Jika seseorang alergi terhadap suatu alergen tertentu, maka tubuh akan memproduksi IgE spesifik terhadap alergen tersebut.",Mendeteksi IgE spesifik terhadap alergen kotoran burung
N,Nickel (Urine),"Salah satu jenis logam berat yang digunakan dalam industri.  Konsentrasi yang tinggi  dapat mencemari tanah, udara, makanan, dan air",Biomonitoring pajanan Nikel
O,Ovarium disertai tuba falopi non neoplastik kiri,Pemeriksaan histopatologis memberikan gambaran mengenai perubahan struktur jaringan ovarium non neoplastik yang terjadi sebagai akibat proses inflamasi serta hubungannya dengan pengenalan akan manifestasi yang timbul.,untuk melihat kelainan pada jaringan ovarium non neoplastik
O,Ovarium disertai tuba falopi non neoplastik kanan,Pemeriksaan histopatologis memberikan gambaran mengenai perubahan struktur jaringan ovarium non neoplastik yang terjadi sebagai akibat proses inflamasi serta hubungannya dengan pengenalan akan manifestasi yang timbul.,untuk melihat kelainan pada jaringan ovarium non neoplastik
P,Pap Smear ,,Silahkan cek email anda untuk mendapatkan kata sandi baru
O,Ovarium disertai tuba falopi neoplastik kiri,Pemeriksaan histopatologis memberikan gambaran mengenai perubahan struktur jaringan ovarium neoplastik yang terjadi sebagai akibat proses inflamasi serta hubungannya dengan pengenalan akan manifestasi yang timbul.,untuk melihat kelainan pada jaringan ovarium neoplastik
P,"Panel Vitamin B1 dan B6, LC-MS/MS","Vitamin B1 (tiamin) berperan sebagai co-enzim yang membantu tubuh untuk menghasilkan energi dan terlibat dalam proses metabolisme glukosa, asam amino dan alkohol serta berfungsi pada sistem syaraf, jantung dan otot. Vitamin B1 didapatkan dari sereal, kentang, makanan laut dan kacang - kacangan. Vitamin B6 adalah co-enzyme dalam metabolisme asam amino dan sintesis hemoglobin serta dibutuhkan oleh sistem saraf dan sistem imun. ","Pemeriksaan Vitamin B1 & B6 merupakan pemeriksaan yang mengukur konsentrasi vitamin B1 dan B6 di dalam darah untuk membantu mengevaluasi status gizi terutama yang terkait dengan kecukupan vitamin B1 dan V6. Kecukupan vitamin B sangat diperlukan pada kondisi : 1. Kondisi yang tidak dapat menyerap vitamin dengan baik misalnya IBD dan diare, 2. kondisi kehamilan, 3. konsumsi teofilin pada penderita asma, 4. masa penyembuhan"
P,"Panel Toksik, Urine",Pemeriksaan kadar logam berat dalam urin,"membantu diagnosis/evaluasi pasien dengan klinis yang terkait dengan adanya paparan logam berat seperti autism, keguguran berulang. "
P,Perawatan Luka (Luka Diabetik/Gangreen) sedang luas luka 5 - 9 cm,,Silahkan cek email anda untuk mendapatkan kata sandi baru
R,Rontgen Ankle Joint Kiri,"Pemeriksaan radiologi pada sendi pergelangan kaki (kiri).
","untuk melihat adanya kelainan pada sendi pergelangan kaki (kiri)
"
R,Rontgen Antebrachii Kanan,"Pemeriksaan radiografi untuk tulang lengan bawah kanan.
","Untuk mengetahui kelainan patologis yang sering dijumpai meliputi fraktur, dislokasi, corpus alienum, dll. 
"
R,Rontgen Ankle Joint Kanan,Pemeriksaan radiologi pada sendi pergelangan kaki (kanan).,untuk melihat adanya kelainan pada sendi pergelangan kaki (kanan)
R,Rontgen Abdomen 3 posisi,Tes pencitraan menggunakan jenis radiasi yang disebut gelombang elektromagnetik  untuk melihat kondisi di dalam perut melalui gambar yang dihasilkan. ,"Untuk mendeteksi perubahan pada organ, jaringan, dan pembuluh darah atau mendeteksi massa abnormal, 
seperti tumor dari organ dan struktur lain di daerah abdomen (perut)"
R,Rontgen Lain-lain ,,Silahkan cek email anda untuk mendapatkan kata sandi baru
R,Rontgen Humerus Kiri,"Humerus adalah tulang panjang di lengan yang membentang dari bahu ke siku, yang menghubungkan skapula dan dua tulang lengan bawah, jari-jari dan ulna, dan terdiri dari tiga bagian.
","untuk melihat adanya kelainan pada humerus kiri.
"
R,Rontgen Humerus Kanan,"Humerus adalah tulang panjang di lengan yang membentang dari bahu ke siku, yang menghubungkan skapula dan dua tulang lengan bawah, jari-jari dan ulna, dan terdiri dari tiga bagian.
","untuk melihat adanya kelainan pada humerus kanan.
"
R,Rontgen Hip Joint Kiri,"Pemeriksaan radiologi pada sendi pinggul (kiri).
","untuk melihat adanya kelainan pada sendi pinggul (kiri)
"
T,TREADMILL,"Pemeriksaan yang digunakan untuk mengumpulkan informasi mengenai seberapa baik jantung bekerja selama aktivitas fisik. Karena latihan beban membuat jantung bekerja lebih keras dan lebih cepat dibandingkan ketika melakukan aktivitas sehari-hari, pemeriksaan ini dapat mengungkapkan masalah pada jantung yang tidak tampak dari hasil rekam EKG istirahat. Pemeriksaan treadmill biasanya melibatkan proses berjalan di atas treadmill, sementara ritme jantung, tekanan darah, serta pernapasan dipantau monitor.",Membantu diagnosis penyakit jantung koroner dan masalah ritme jantung (aritmia); memantau dan mengarahkan pengobatan untuk kelainan jantung.
T,Transtorakal aspirasi tumor,Sitologi spesimen cairan dari pasien dapat menjadi alat penting untuk diagnosis cepat yang diperlukan untuk memulai terapi yang tepat waktu dan tepat.,Membantu memperkirakan keberadaan sel-sel ganas dalam spesimen cairan aspirasi Transtorakal.
U,UIBC ,"Bersama dengan tes zat besi lainnya, untuk menilai kemampuan tubuh Anda untuk mengangkut zat besi dalam darah; untuk membantu mendiagnosis kekurangan zat besi atau kelebihan zat besi",Pemeriksaan UIBC dilakukan untuk pasien yang memiliki hemoglobin dan hematokrit rendah pada hitung darah lengkap (CBC); ketika praktisi kesehatan Anda mencurigai Anda mungkin memiliki terlalu banyak zat besi (kelebihan beban) atau terlalu sedikit zat besi (kekurangan) dalam tubuh
Z,Zonisamide,Zonisamide adalah obat yang digunakan untuk mengobati gangguan kejang (epilepsi).,Pemeriksaan ini bermanfaat untuk memonitor konsentrasi metabolit Zonisamide dalam darah. 
Z,"Zn, Plasma","Pemeriksaan dilakukan  bila ada  tanda atau gejala defisiensi/kelebihan Zn	
",untuk mengetahui nilai kecukupan atau kelebihan Zn
U,UEI,Kadar UEI (Urine  Ekskresi  Iodium)  adalah  jumlah  iodium  yang  terkandung  dalam urin  dengan  menggunakan  urin   sewaktu,Mengetahui  besaran  asupan  iodium pada  manusia  per  hari  dan  sangat melihat tanda awal adanya kekurangan konsumsi iodium
T,Tumor kulit kepala,Benjolan yang dicurigai tumor dan terdapat pada kulit kepala.,untuk mengetahui adanya tumor pada kulit kepala.
Y,"Yersinia enterocolitica Antibodies (IgG,IgA)",Yersiniosis adalah infeksi yang umumnya disebabkan oleh konsumsi daging babi mentah atau setengah matang yang terkontaminasi oleh bakteri Yersinia enterocolitica. Antibodi IgG dan IgA spesifik biasanya muncul setelah infeksi akut.,Mendeteksi antibodi IgG dan IgA terhadap Yersinia enterocolitica
T,Tumor Regio Oksipital,Benjolan yang dicurigai tumor dan terdapat pada Regio Oksipital.,untuk mengetahui adanya tumor pada Regio Oksipital.
T,"Tumor Necrosis Factor-Alpha,Highly Sensitive",Pemeriksaan untuk mengukur kadar Tumor Necrosis Factor Alpha dalam darah,Pemeriksaan digunakan pada pasien yang sebelumnya didiagnosis dengan limfoma sel-T.
T,Tumor Labial,Benjolan yang dicurigai tumor dan terdapat pada Labial.,untuk mengetahui adanya tumor pada Labial.
X,Xylene,"Xylene adalah hidrokarbon aromatik yang banyak digunakan dalam industri dan teknologi medis sebagai pelarut. Ini adalah cairan atau gas yang tidak berwarna dan berbau harum yang terjadi secara alami dalam minyak bumi, batu bara dan tar kayu.",Memonitoring Paparan Xylene dengan mengukur kadar xylene dalam darah.
W,WASHING SPERMA,teknologi reproduksi yang telah dikembangkan adalah peningkatan kualitas sperma,pemeriksaan untuk membantu evaluasi infertilitas
W,Whole Body (Body Composition),,Silahkan cek email anda untuk mendapatkan kata sandi baru
W,Warfarin IndivTest (CYP2C9 & VKORC1 Genotipe),"Pemeriksaan molekuler untuk mendeteksi variasi genetik pada gen CYP2C9 dan VKORC1 pasien yang akan diterapi dengan obat warfarin. 

Individu yang mewarisi satu atau dua salinan dari CYP2C9 *2 atau *3 dan alel -1639A dari gen VKORC1 membutuhkan dosis warfarin awal yang lebih rendah daripada individu yang tidak memiliki variasi genetik di kedua gen tersebut","1. Sebagai penentu dosis awal optimum obat warfarin
2. Mengurangi adanya kekurangan atau kelebihan dosis selama masa pengobatan awal
3. Mempersingkat waktu untuk mencapai INR yang stabil
4. Mengurangi risiko pendarahan dan kejadian tromboemboli
5. Diperiksakan satu kali seumur hidup"
W,West Nile Virus IgM Abs,"Pada 3 minggu setelah infeksi, hampir semua orang yang terinfeksi seharusnya mengembangkan antibodi IgG untuk WNV.",Mengetahui infeksi West nile Virus di masa lampau
W,WIDAL ,"Pemeriksaan Widal merupakan penentuan kadar aglutinasi antibodi terhadap antigen O dan H dalam darah (antibodi O muncul pada hari ke 6-8, dan antibodi H muncul pada hari ke 10-12). Pemeriksaan Widal memberikan hasil negatif sampai 30% dari sampel biakan positif penyakit tifus, sehingga hasil tes Widal negatif bukan berarti dapat dipastikan tidak terjadi infeksi. Pemeriksaan tunggal penyakit tifus dengan tes Widal kurang baik karena akan memberikan hasil positif bila terjadi: 1) infeksi berulang karena bakteri Salmonella lainnya, 2) imunisasi penyakit tifus sebelumnya, dan 3) infeksi lainnya seperti malaria dan lain-lain.","Di negara endemis seperti Indonesia,  pemeriksaan widal  hampir pasti akan positif tetapi tidak otomatis menyatakan yang bersangkutan sedang menderita infeksi tifus. Disebut juga dengan pemeriksaan laboratorium biakan empedu. "
W,Waktu Protrombin,Pengukuran waktu yang dibutuhkan bagi darah untuk membeku. Pembekuan darah membutuhkan vitamin K dan beberapa faktor pembekuan (protein) yang dibuat oleh hati,"Evaluasi sistem koagulasi ekstrinsik; membantu skrining defisiensi kongenital faktor II, V, VII, X; defisiensi protrombin; disfibrinogenemia, afibrinogenemia (complete); efek heparin, kumarin atau efek warfarin, kerusakan hati; Dissemianated Intravascular Coagulation (DIC); dan uji saring untuk defisiensi vitamin K"
W,Waktu Trombin, tes yang mengukur waktu yang dibutuhkan untuk membentuk bekuan dan plasma setelah penambahan trombin dalam sejumlah fibrinogen normal. ,"Pemeriksaan ini dilakukan untuk menentukan hipofibrinogenemia yang parah, disfibrinogenemia, dan adanya heparin seperti antikoagulan; berguna untuk pemantauan Disseminated Intravascular Coagulation (DIC) dan fibrinolisis; pemantauan terapi fibrinolitik. Pemeriksaan waktu trombin dapat digunakan untuk pemantauan terapi dengan heparin."
W,Waktu Protrombin + INR,Pengukuran waktu yang dibutuhkan bagi darah untuk membeku. Pembekuan darah membutuhkan vitamin K dan beberapa faktor pembekuan (protein) yang dibuat oleh hati,"Evaluasi sistem koagulasi ekstrinsik; membantu skrining defisiensi kongenital faktor II, V, VII, X; defisiensi protrombin; disfibrinogenemia, afibrinogenemia (complete); efek heparin, kumarin atau efek warfarin, kerusakan hati; Dissemianated Intravascular Coagulation (DIC); dan uji saring untuk defisiensi vitamin K"
W,Waktu Perdarahan,uji laboratorium untuk menentukan lamanya tubuh menghentikan perdarahan akibat trauma yang dibuat secara laboratoris. Pemeriksaan ini mengukur hemostasis dan koagulasi,"Skrining untuk mengetahui capillary function, jumlah platelet, dan kemampuan platelet menempel pada  dinding pembuluh plug. Evaluasi ecchymosis, spontaneous bruising dan perdarahan, kecendrungan perdarahan. Prolonged pada beberapa pasien setelah pemberian aspirin, kerusakan platelet kualitatif (seperti penyakit Von Willbrand's, sindroma bernard-soulier, trombostenia Glanzmann's, dan sindroma gray platelet, dengan kelainan fibrinogen, makroglobulinemia, beberapa kasus penyakit mieloproliferatif, gagal ginjal, dan kelainan darah vessel. Waktu perdarahan merupakan prediktor yang baik perdarahan operatif pada pasien dengan riwayat negatif bleeding diathesis. "
V,Voltage-Gated Calcium Channel (VGCC) Type N Antibody,,Silahkan cek email anda untuk mendapatkan kata sandi baru
V,VMA Urine,"VMA urin atau Vanillylmandelic Acid Urine atau 3-Methoxy-4-Hydroxymandelic Acid merupakan metabolit utama yang dihasilkan oleh catecholamines, epinephrine, norepinephrine","Pemeriksaan ini bermanfaat untuk :
- Mengukur banyaknya CMA yang diekskresikan dalam urine selama 24 jam
- Membantu diagnosis tumor neuroblastoma, pheochromocytoma &/ tumor neuroendrocrine
- Memantau efektivitas terapi."
W,Waktu Perdarahan (Anak),,Silahkan cek email anda untuk mendapatkan kata sandi baru
W,Waktu Pembekuan,"Waktu pembekuan merupakan pemeriksaan yang digunakan terutama untuk memantau terapi heparin dosis tinggi. Heparin adalah obat yang menghambat pembekuan darah (antikoagulan) dan biasanya diberikan secara intravena dengan injeksi atau infus kontinu. Terapi heparin dosis tinggi dapat diberikan selama dilakukan tindakan yang memerlukan pencegahan terhadap pembekuan darah, seperti operasi bypassjantung. Waktu pembekuan diukur dalam detik; di mana waktu terjadinya pembekuan darah semakin lama, semakin tinggi tingkat penghambatan pembekuan darah","Evaluasi sistem pembekuan darah, pemantauan terapi dengan heparin."
V,Vitamin K,Vitamin esensial terkait pembekuan darah. Kekurangan vitamin K dapat menyebabkan perdarahan yang berlebihan dan mudah memar,Membantu mengetahui kekurangan vitamin K
V,Vitamin D3,,Silahkan cek email anda untuk mendapatkan kata sandi baru
V,Von Willebrand Factor Antigen ,"Von Willebrand factor (vWF atau VWF) adalah protein yang merupakan salah satu dari beberapa komponen sistem koagulasi yang bekerja bersama, dan secara berurutan, untuk menghentikan pendarahan di dalam tubuh. Pengujian VWF mengukur jumlah protein yang ada dalam darah dan menentukan seberapa baik fungsi protein","Untuk membantu menentukan penyebab perdarahan yang berlebihan atau berulang, untuk mendiagnosis  von Willebrand disease (VWD), dan untuk membedakan berbagai jenis VWD"
V,Vitamin B3,,Silahkan cek email anda untuk mendapatkan kata sandi baru
V,Vitamin D Genetic ,,Silahkan cek email anda untuk mendapatkan kata sandi baru
V,Vitamin D 25-OH Total,"Pemeriksaan vitamin D 25-OH total sangat penting dilakukan guna mengetahui status vitamin D seseorang serta interpretasinya, khususnya bagi mereka yang berisiko tinggi mengalami insufisiensi atau defisiensi vitamin D. ","Pemeriksaan vitamin D 25-OH merupakan pemeriksaan yang lebih dipercaya menggambarkan status vitamin D yang sebenarnya. Dengan mengetahui status vitamin D seseorang (sufisiensi, insufisiensi, defisiensi ataupun toksisitas) maka kondisi khususnya defisiensi vitamin D yang merupakan suatu silent disease  dapat diatasi segera. "
V,"Vitamin C, LC/MS/MS","Vitamin C [2-oxo-L-threo-hexono-1, 4-lactone2, 3-enediol] atau asam L-askorbat adalah vitamin yang larut dalam air dan nutrisi penting bagi manusia. Sangat penting dalam pembentukan kolagen, yang diperlukan untuk pertumbuhan dan perkembangan normal serta perbaikan jaringan di semua bagian tubuh. Vitamin C juga berfungsi sebagai antioksidan yang menghambat kerusakan yang disebabkan oleh radikal bebas dan secara langsung mengurangi bahan kimia dan polutan beracun.",Mendeteksi status Vitamin C
V,"Vitamin D,1,25-Dihiydroxy, LC/MS/MS","pemeriksaan vitamin D terdiri dari 2 jenis yaitu Vitamin D,1,25-Dihiydroxy (kalsitriol) dan 25-Hydroxyvitamin D (kalsidiol). Vitamin D,1,25-Dihiydroxy dihasilkan di ginjal dan merupakan bentuk aktif dari vitamin D. Sedangkan, 25-Hydroxyvitamin D merupakan bentuk aktif dari vitamin D yang dihasilkan pada hati",Evaluasi metabolisme kalsium pada penyandang hypercalcemia dan penyandang gagal ginjal. Tes ini berbeda dengan 25-Hydroxyvitamin D yang berfunsi untuk mengecek defisiensi vitamin D
V,Vitamin B2 ( Riboflavin),B2 adalah koenzim yang terlibat dalam produksi energi dan diperlukan untuk metabolisme vitamin B lainnya,untuk mengukur Glutathione reductase dalam eritrosit (aktivitas)
V,Vitamin B12 Binding Capacity,"Vitamin B adalah nutrisi yang dibutuhkan tubuh dalam jumlah kecil (mikronutrien) untuk metabolisme, produksi energi, dan untuk sel, kulit, tulang, otot, organ, dan kesehatan sistem saraf.
Vitamin B12 Berperan penting untuk fungsi sel saraf tubuh","'- Membantu diagnosa salah satu penyebab Anemia (anemia defisiensi vitamin B12/ Anemia Prenisiosa, Anemia Megaloblaster) dan neuropati (Penyakit atau gangguan yang mempengaruhi fungsi syaraf). 
- Menentukan status nutrisi kecukupan vitamin B12
- Menentukan efektifitas suplementasi Vitamin B12. "
V,Vitamin B12,"Vitamin B12 merupakan bagian dari vitamin B kompleks yang diperlukan dalam pembentukan sel darah merah nomal, perbaikan jaringan dan sel-sel, serta sintesis DNA. Vitamin B12 adalah nutrisi yang tidak dapat diproduksi sendiri dalam tubuh dan harus diasup oleh diet. Pemeriksaan Vitamin B12 mengukur kadar vitamin B12 dalam darah untuk mendeteksi defisiensi (kekurangan) vitamin B12. Pemeriksaan Vitamin B12 direkomendasikan dokter bila seseorang memiliki hasil pemeriksaan hematologi rutin (complete blood count/CBC) abnormal dengan apusan darah yang menunjukkan sel darah merah yang lebih besar dari biasanya (makrositosis) atau neutrofil abnormal (hipersegmentasi); ketika seseorang mengalami gejala anemia (seperti kelemahan, kelelahan, kulit pucat) dan/atau neuropati (kesemutan dan sensasi gatal, mata berkedut, kehilangan memori, perubahan status mental); ketika sedang dalam pengobatan vitamin B12. Pemeriksaan Vitamin B12 membutuhkan sampel berupa darah yang diambil dari pembuluh darah vena di lengan.","Membantu diagnosa salah satu penyebab Anemia (anemia defisiensi vitamin B12/ Anemia Prenisiosa, Anemia Megaloblaster) dan neuropati (Penyakit atau gangguan yang mempengaruhi fungsi syaraf). Menetukan status nutrisi kecukupan vitamin B12, Menetukan efektifitas suplementasi Vitamin B12. 	
"
